1	Afghanistan
2	Albania
3	Algeria
4	Andorra
5	Angola
6	Antigua and Barbuda
7	Argentina
8	Armenia
9	Australia
10	Austria
11	Azerbaijan
12	Bahamas
13	Bahrain
14	Bangladesh
15	Barbados
16	Belarus
17	Belgium
18	Belize
19	Benin
20	Bhutan
21	Bolivia
22	Bosnia and Herzegovina
23	Botswana
24	Brazil
25	Brunei
26	Bulgaria
27	Burkina Faso
28	Burundi
29	Cabo Verde
30	Cambodia
31	Cameroon
32	Canada
33	Central African Republic
34	Chad
35	Chile
36	China
37	Colombia
38	Comoros
39	Congo
40	Costa Rica
41	Cote d'Ivoire
42	Croatia
43	Cuba
44	Cyprus
45	Czech Republic
46	Democratic Republic of the Congo
47	Denmark
48	Djibouti
49	Dominica
50	Dominican Republic
51	East Timor
52	Ecuador
53	Egypt
54	El Salvador
55	Equatorial Guinea
56	Eritrea
57	Estonia
58	Eswatini
59	Ethiopia
60	Fiji
61	Finland
62	France
63	Gabon
64	Gambia
65	Georgia
66	Germany
67	Ghana
68	Greece
69	Grenada
70	Guatemala
71	Guinea
72	Guinea-Bissau
73	Guyana
74	Haiti
75	Holy See
76	Honduras
77	Hungary
78	Iceland
79	India
80	Indonesia
81	Iran
82	Iraq
83	Ireland
84	Israel
85	Italy
86	Jamaica
87	Japan
88	Jordan
89	Kazakhstan
90	Kenya
91	Kiribati
92	Kuwait
93	Kyrgyzstan
94	Laos
95	Latvia
96	Lebanon
97	Lesotho
98	Liberia
99	Libya
100	Liechtenstein
101	Lithuania
102	Luxembourg
103	Madagascar
104	Malawi
105	Malaysia
106	Maldives
107	Mali
108	Malta
109	Marshall Islands
110	Mauritania
111	Mauritius
112	Mexico
113	Micronesia
114	Moldova
115	Monaco
116	Mongolia
117	Montenegro
118	Morocco
119	Mozambique
120	Myanmar
121	Namibia
122	Nauru
123	Nepal
124	Netherlands
125	New Zealand
126	Nicaragua
127	Niger
128	Nigeria
129	North Korea
130	North Macedonia
131	Norway
132	Oman
133	Pakistan
134	Palau
135	Palestine State
136	Panama
137	Papua New Guinea
138	Paraguay
139	Peru
140	Philippines
141	Poland
142	Portugal
143	Qatar
144	Romania
145	Russia
146	Rwanda
147	Saint Kitts and Nevis
148	Saint Lucia
149	Saint Vincent and the Grenadines
150	Samoa
151	San Marino
152	Sao Tome and Principe
153	Saudi Arabia
154	Senegal
155	Serbia
156	Seychelles
157	Sierra Leone
158	Singapore
159	Slovakia
160	Slovenia
161	Solomon Islands
162	Somalia
163	South Africa
164	South Korea
165	South Sudan
166	Spain
167	Sri Lanka
168	Sudan
169	Suriname
170	Sweden
171	Switzerland
172	Syria
173	Tajikistan
174	Tanzania
175	Thailand
176	Togo
177	Tonga
178	Trinidad and Tobago
179	Tunisia
180	Turkey
181	Turkmenistan
182	Tuvalu
183	Uganda
184	Ukraine
185	United Arab Emirates
186	United Kingdom
187	United States of America
188	Uruguay
189	Uzbekistan
190	Vanuatu
191	Venezuela
192	Vietnam
193	Yemen
194	Zambia
195	Zimbabwe
